"outcome","id.exposure","id.outcome","exposure","method","Q","Q_df","Q_pval","outcome_full"
"lowapgar5","Nk0xbD","lowapgar5","Endometriosis (Rahmioglu)","Inverse variance weighted",53.524,33,"0.013","Low Apgar score at 5 min"
"misc_subsamp","Nk0xbD","misc_subsamp","Endometriosis (Rahmioglu)","MR Egger",34.953,32,"0.33","Miscarriage (subsample)"
"misc_subsamp","Nk0xbD","misc_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",35.569,33,"0.348","Miscarriage (subsample)"
"nicu","Nk0xbD","nicu","Endometriosis (Rahmioglu)","Inverse variance weighted",27.946,32,"0.672","NICU admission"
"nicu","Nk0xbD","nicu","Endometriosis (Rahmioglu)","MR Egger",27.627,31,"0.64","NICU admission"
"nvp_sev_all","Nk0xbD","nvp_sev_all","Endometriosis (Rahmioglu)","MR Egger",40.47,32,"0.145","Severe nausea/vomiting (all)"
"nvp_sev_all","Nk0xbD","nvp_sev_all","Endometriosis (Rahmioglu)","Inverse variance weighted",41.217,33,"0.154","Severe nausea/vomiting (all)"
"nvp_sev_subsamp","Nk0xbD","nvp_sev_subsamp","Endometriosis (Rahmioglu)","MR Egger",38.376,32,"0.203","Severe nausea/vomiting (subsample)"
"nvp_sev_subsamp","Nk0xbD","nvp_sev_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",39.63,33,"0.198","Severe nausea/vomiting (subsample)"
"pe_subsamp","Nk0xbD","pe_subsamp","Endometriosis (Rahmioglu)","MR Egger",26.32,31,"0.706","Preeclampsia (subsample)"
"pe_subsamp","Nk0xbD","pe_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",28.295,32,"0.655","Preeclampsia (subsample)"
"Postpartum_hemorrhage","Nk0xbD","Postpartum_hemorrhage","Endometriosis (Rahmioglu)","Inverse variance weighted",123.962,39,"8.83e-11","Postpartum_hemorrhage"
"Postpartum_hemorrhage","Nk0xbD","Postpartum_hemorrhage","Endometriosis (Rahmioglu)","MR Egger",107.245,38,"1.61e-08","Postpartum_hemorrhage"
"Postpartum_hemorrhage_due_to_atony","Nk0xbD","Postpartum_hemorrhage_due_to_atony","Endometriosis (Rahmioglu)","MR Egger",70.241,38,"0.001","Postpartum_hemorrhage_due_to_atony"
"Postpartum_hemorrhage_due_to_atony","Nk0xbD","Postpartum_hemorrhage_due_to_atony","Endometriosis (Rahmioglu)","Inverse variance weighted",83.214,39,"4.84e-05","Postpartum_hemorrhage_due_to_atony"
"Postpartum_hemorrhage_due_to_retained_placenta","Nk0xbD","Postpartum_hemorrhage_due_to_retained_placenta","Endometriosis (Rahmioglu)","Inverse variance weighted",116.786,39,"1.09e-09","Postpartum_hemorrhage_due_to_retained_placenta"
"Postpartum_hemorrhage_due_to_retained_placenta","Nk0xbD","Postpartum_hemorrhage_due_to_retained_placenta","Endometriosis (Rahmioglu)","MR Egger",111.837,38,"3.37e-09","Postpartum_hemorrhage_due_to_retained_placenta"
"posttb_all","Nk0xbD","posttb_all","Endometriosis (Rahmioglu)","MR Egger",204.873,32,"4.18e-27","Post-term birth"
"posttb_all","Nk0xbD","posttb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",204.878,33,"1.07e-26","Post-term birth"
"pretb_all","Nk0xbD","pretb_all","Endometriosis (Rahmioglu)","MR Egger",195.369,32,"2.39e-25","Preterm birth (all)"
"pretb_all","Nk0xbD","pretb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",196.175,33,"4.26e-25","Preterm birth (all)"
"pretb_subsamp","Nk0xbD","pretb_subsamp","Endometriosis (Rahmioglu)","MR Egger",128.747,31,"7.12e-14","Preterm birth (subsample)"
"pretb_subsamp","Nk0xbD","pretb_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",130.865,32,"6.52e-14","Preterm birth (subsample)"
"r_misc_subsamp","Nk0xbD","r_misc_subsamp","Endometriosis (Rahmioglu)","MR Egger",49.717,32,"0.024","Recurrent miscarriage (subsample)"
"r_misc_subsamp","Nk0xbD","r_misc_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",53.753,33,"0.013","Recurrent miscarriage (subsample)"
"rup_memb","Nk0xbD","rup_memb","Endometriosis (Rahmioglu)","MR Egger",62.332,32,"0.001","Premature rupture of membranes"
"rup_memb","Nk0xbD","rup_memb","Endometriosis (Rahmioglu)","Inverse variance weighted",63.761,33,"0.001","Premature rupture of membranes"
"s_misc_subsamp","Nk0xbD","s_misc_subsamp","Endometriosis (Rahmioglu)","MR Egger",30.66,32,"0.534","Single miscarriage (subsample)"
"s_misc_subsamp","Nk0xbD","s_misc_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",31.015,33,"0.566","Single miscarriage (subsample)"
"sb_subsamp","Nk0xbD","sb_subsamp","Endometriosis (Rahmioglu)","MR Egger",35.309,32,"0.315","Stillbirth (subsample)"
"sb_subsamp","Nk0xbD","sb_subsamp","Endometriosis (Rahmioglu)","Inverse variance weighted",35.733,33,"0.341","Stillbirth (subsample)"
"sga","Nk0xbD","sga","Endometriosis (Rahmioglu)","MR Egger",38.897,31,"0.156","Small for gestational age"
"sga","Nk0xbD","sga","Endometriosis (Rahmioglu)","Inverse variance weighted",40.196,32,"0.152","Small for gestational age"
"vpretb_all","Nk0xbD","vpretb_all","Endometriosis (Rahmioglu)","MR Egger",38.954,31,"0.154","Very preterm birth (all)"
"vpretb_all","Nk0xbD","vpretb_all","Endometriosis (Rahmioglu)","Inverse variance weighted",41.349,32,"0.125","Very preterm birth (all)"
"zbw_all","Nk0xbD","zbw_all","Endometriosis (Rahmioglu)","MR Egger",386.357,32,"2.05e-62","Z-score birthweight (all)"
"zbw_all","Nk0xbD","zbw_all","Endometriosis (Rahmioglu)","Inverse variance weighted",387.089,33,"5.14e-62","Z-score birthweight (all)"
